road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_p,resource_balance,notes
43,43,589,0600_1100,5257.639,0.863,59.999,0.106,,,period-based
44,44,590,0600_1100,7128.534,0.863,59.996,0.144,,,period-based
45,45,591,0600_1100,6238.195,0.863,59.998,0.126,,,period-based
46,46,592,0600_1100,6568.316,0.863,59.997,0.133,,,period-based
47,47,593,0600_1100,2892.160,0.863,60.000,0.058,,,period-based
48,48,594,0600_1100,4978.066,0.863,59.999,0.101,,,period-based
49,49,595,0600_1100,3495.578,0.863,60.000,0.071,,,period-based
50,50,596,0600_1100,4757.993,0.863,59.999,0.096,,,period-based
51,51,597,0600_1100,1577.300,0.863,60.000,0.032,,,period-based
52,52,598,0600_1100,2041.280,0.863,60.000,0.041,,,period-based
53,53,599,0600_1100,4665.327,0.863,59.999,0.094,,,period-based
54,54,600,0600_1100,1259.871,0.863,60.000,0.025,,,period-based
55,55,601,0600_1100,1778.419,0.863,60.000,0.036,,,period-based
56,56,602,0600_1100,4297.125,0.863,59.999,0.087,,,period-based
57,57,603,0600_1100,1646.850,0.863,60.000,0.033,,,period-based
58,58,604,0600_1100,5962.506,0.863,59.998,0.120,,,period-based
59,59,605,0600_1100,5225.798,0.863,59.999,0.106,,,period-based
60,60,606,0600_1100,5148.460,0.863,59.999,0.104,,,period-based
61,61,607,0600_1100,5264.463,0.863,59.999,0.106,,,period-based
62,62,608,0600_1100,5472.500,0.863,59.999,0.111,,,period-based
63,63,609,0600_1100,3718.922,0.863,60.000,0.075,,,period-based
64,64,610,0600_1100,9104.308,0.863,59.990,0.184,,,period-based
65,65,611,0600_1100,3468.091,0.863,60.000,0.070,,,period-based
66,66,612,0600_1100,6193.352,0.863,59.998,0.125,,,period-based
67,67,613,0600_1100,3858.586,0.863,60.000,0.078,,,period-based
68,68,614,0600_1100,6526.752,0.863,59.997,0.132,,,period-based
69,69,615,0600_1100,6270.571,0.863,59.998,0.127,,,period-based
70,70,616,0600_1100,4480.427,0.863,59.999,0.091,,,period-based
71,71,617,0600_1100,3979.920,0.863,60.000,0.080,,,period-based
72,72,618,0600_1100,7296.663,0.863,59.996,0.147,,,period-based
73,73,619,0600_1100,7675.896,0.863,59.995,0.155,,,period-based
74,74,620,0600_1100,2642.720,0.863,60.000,0.053,,,period-based
75,75,621,0600_1100,2685.234,0.863,60.000,0.054,,,period-based
76,76,622,0600_1100,5958.849,0.863,59.998,0.120,,,period-based
76,77,623,0600_1100,7998.537,0.863,59.994,0.162,,,period-based
76,78,624,0600_1100,6831.435,0.863,59.997,0.138,,,period-based
76,79,625,0600_1100,3838.329,0.863,60.000,0.078,,,period-based
76,80,626,0600_1100,10315.782,0.863,59.983,0.208,,,period-based
76,81,627,0600_1100,8352.048,0.863,59.993,0.169,,,period-based
76,82,628,0600_1100,5765.203,0.863,59.998,0.116,,,period-based
76,83,629,0600_1100,4294.905,0.863,59.999,0.087,,,period-based
76,84,630,0600_1100,6438.078,0.863,59.997,0.130,,,period-based
76,85,631,0600_1100,13283.460,0.863,59.953,0.268,,,period-based
76,86,632,0600_1100,5293.371,0.863,59.999,0.107,,,period-based
76,87,633,0600_1100,5977.532,0.863,59.998,0.121,,,period-based
76,88,634,0600_1100,4579.155,0.863,59.999,0.093,,,period-based
76,89,635,0600_1100,2370.390,0.863,60.000,0.048,,,period-based
76,90,636,0600_1100,2212.550,0.863,60.000,0.045,,,period-based
76,91,637,0600_1100,7079.211,0.863,59.996,0.143,,,period-based
76,92,638,0600_1100,1746.500,0.863,60.000,0.035,,,period-based
76,93,639,0600_1100,4363.858,0.863,59.999,0.088,,,period-based
76,94,640,0600_1100,471.020,0.863,60.000,0.010,,,period-based
76,95,641,0600_1100,2752.810,0.863,60.000,0.056,,,period-based
76,96,642,0600_1100,587.410,0.863,60.000,0.012,,,period-based
76,97,643,0600_1100,6304.827,0.863,59.998,0.127,,,period-based
76,98,644,0600_1100,8436.919,0.863,59.992,0.170,,,period-based
76,99,645,0600_1100,4527.157,0.863,59.999,0.091,,,period-based
76,100,646,0600_1100,3592.628,0.863,60.000,0.073,,,period-based
76,101,647,0600_1100,3144.711,0.863,60.000,0.064,,,period-based
76,102,648,0600_1100,3681.723,0.863,60.000,0.074,,,period-based
76,103,649,0600_1100,1743.130,0.863,60.000,0.035,,,period-based
76,104,650,0600_1100,3100.181,0.863,60.000,0.063,,,period-based
76,105,651,0600_1100,983.630,0.863,60.000,0.020,,,period-based
76,106,652,0600_1100,3859.909,0.863,60.000,0.078,,,period-based
76,107,653,0600_1100,3630.973,0.863,60.000,0.073,,,period-based
76,108,654,0600_1100,3769.101,0.863,60.000,0.076,,,period-based
76,109,655,0600_1100,3028.101,0.863,60.000,0.061,,,period-based
76,110,656,0600_1100,5660.601,0.863,59.998,0.114,,,period-based
76,111,657,0600_1100,5463.482,0.863,59.999,0.110,,,period-based
76,112,658,0600_1100,3659.231,0.863,60.000,0.074,,,period-based
76,113,659,0600_1100,3784.733,0.863,60.000,0.076,,,period-based
76,114,660,0600_1100,2147.451,0.863,60.000,0.043,,,period-based
76,115,661,0600_1100,4043.609,0.863,60.000,0.082,,,period-based
76,116,662,0600_1100,2374.711,0.863,60.000,0.048,,,period-based
76,117,663,0600_1100,824.080,0.863,60.000,0.017,,,period-based
76,118,664,0600_1100,4286.071,0.863,59.999,0.087,,,period-based
76,119,665,0600_1100,1278.870,0.863,60.000,0.026,,,period-based
76,120,666,0600_1100,1507.369,0.863,60.000,0.030,,,period-based
76,121,667,0600_1100,3785.822,0.863,60.000,0.076,,,period-based
76,122,668,0600_1100,1943.729,0.863,60.000,0.039,,,period-based
76,123,669,0600_1100,4281.932,0.863,59.999,0.087,,,period-based
76,124,670,0600_1100,1800.849,0.863,60.000,0.036,,,period-based
76,125,671,0600_1100,2224.151,0.863,60.000,0.045,,,period-based
76,126,672,0600_1100,507.290,0.863,60.000,0.010,,,period-based
76,127,673,0600_1100,2137.820,0.863,60.000,0.043,,,period-based
76,128,674,0600_1100,864.150,0.863,60.000,0.017,,,period-based
76,129,675,0600_1100,3848.749,0.863,60.000,0.078,,,period-based
76,130,676,0600_1100,2993.409,0.863,60.000,0.060,,,period-based
76,131,677,0600_1100,5005.801,0.863,59.999,0.101,,,period-based
76,132,678,0600_1100,3968.501,0.863,60.000,0.080,,,period-based
76,133,679,0600_1100,5192.115,0.863,59.999,0.105,,,period-based
76,134,680,0600_1100,3356.652,0.863,60.000,0.068,,,period-based
76,135,681,0600_1100,5479.745,0.863,59.999,0.111,,,period-based
76,136,682,0600_1100,6391.215,0.863,59.998,0.129,,,period-based
76,137,683,0600_1100,2348.410,0.863,60.000,0.047,,,period-based
76,138,684,0600_1100,1466.590,0.863,60.000,0.030,,,period-based
76,139,685,0600_1100,1631.540,0.863,60.000,0.033,,,period-based
76,140,686,0600_1100,1097.230,0.863,60.000,0.022,,,period-based
76,141,687,0600_1100,5293.444,0.863,59.999,0.107,,,period-based
76,142,688,0600_1100,5106.127,0.863,59.999,0.103,,,period-based
76,143,689,0600_1100,4074.250,0.863,60.000,0.082,,,period-based
76,144,690,0600_1100,3079.561,0.863,60.000,0.062,,,period-based
76,145,691,0600_1100,7191.333,0.863,59.996,0.145,,,period-based
76,146,692,0600_1100,6930.247,0.863,59.997,0.140,,,period-based
76,147,693,0600_1100,6262.197,0.863,59.998,0.127,,,period-based
76,148,694,0600_1100,6643.947,0.863,59.997,0.134,,,period-based
76,149,695,0600_1100,4165.678,0.863,60.000,0.084,,,period-based
76,150,696,0600_1100,1467.500,0.863,60.000,0.030,,,period-based
76,151,697,0600_1100,1718.330,0.863,60.000,0.035,,,period-based
76,152,698,0600_1100,2461.401,0.863,60.000,0.050,,,period-based
76,153,699,0600_1100,4432.798,0.863,59.999,0.090,,,period-based
76,154,700,0600_1100,5126.117,0.863,59.999,0.104,,,period-based
76,155,701,0600_1100,4469.099,0.863,59.999,0.090,,,period-based
76,156,702,0600_1100,4347.697,0.863,59.999,0.088,,,period-based
76,157,703,0600_1100,5850.396,0.863,59.998,0.118,,,period-based
76,158,704,0600_1100,6246.551,0.863,59.998,0.126,,,period-based
76,159,705,0600_1100,4582.570,0.863,59.999,0.093,,,period-based
76,160,706,0600_1100,5079.871,0.863,59.999,0.103,,,period-based
76,161,707,0600_1100,1761.800,0.863,60.000,0.036,,,period-based
76,162,708,0600_1100,642.700,0.863,60.000,0.013,,,period-based
76,163,709,0600_1100,417.930,0.863,60.000,0.008,,,period-based
76,164,710,0600_1100,2482.861,0.863,60.000,0.050,,,period-based
76,165,711,0600_1100,461.780,0.863,60.000,0.009,,,period-based
76,166,712,0600_1100,2412.981,0.863,60.000,0.049,,,period-based
76,167,713,0600_1100,1155.620,0.863,60.000,0.023,,,period-based
76,168,714,0600_1100,264.040,0.863,60.000,0.005,,,period-based
76,169,715,0600_1100,559.090,0.863,60.000,0.011,,,period-based
76,170,716,0600_1100,5259.075,0.863,59.999,0.106,,,period-based
76,171,717,0600_1100,1094.690,0.863,60.000,0.022,,,period-based
76,172,718,0600_1100,3031.329,0.863,60.000,0.061,,,period-based
76,173,719,0600_1100,605.110,0.863,60.000,0.012,,,period-based
76,174,720,0600_1100,331.340,0.863,60.000,0.007,,,period-based
76,175,721,0600_1100,1238.691,0.863,60.000,0.025,,,period-based
76,176,722,0600_1100,808.620,0.863,60.000,0.016,,,period-based
76,177,723,0600_1100,420.730,0.863,60.000,0.008,,,period-based
76,178,724,0600_1100,2566.031,0.863,60.000,0.052,,,period-based
76,179,725,0600_1100,1755.870,0.863,60.000,0.035,,,period-based
76,180,726,0600_1100,298.390,0.863,60.000,0.006,,,period-based
76,181,727,0600_1100,646.970,0.863,60.000,0.013,,,period-based
76,182,728,0600_1100,2277.010,0.863,60.000,0.046,,,period-based
76,183,729,0600_1100,1200.820,0.863,60.000,0.024,,,period-based
76,184,730,0600_1100,1465.930,0.863,60.000,0.030,,,period-based
76,185,731,0600_1100,949.580,0.863,60.000,0.019,,,period-based
76,186,732,0600_1100,465.520,0.863,60.000,0.009,,,period-based
76,187,733,0600_1100,939.160,0.863,60.000,0.019,,,period-based
76,188,734,0600_1100,3028.512,0.863,60.000,0.061,,,period-based
76,189,735,0600_1100,3603.241,0.863,60.000,0.073,,,period-based
76,190,736,0600_1100,4935.728,0.863,59.999,0.100,,,period-based
76,191,737,0600_1100,3814.160,0.863,60.000,0.077,,,period-based
76,192,738,0600_1100,1246.070,0.863,60.000,0.025,,,period-based
76,193,739,0600_1100,153.900,0.863,60.000,0.003,,,period-based
76,194,740,0600_1100,1290.230,0.863,60.000,0.026,,,period-based
76,195,741,0600_1100,898.900,0.863,60.000,0.018,,,period-based
76,196,742,0600_1100,726.610,0.863,60.000,0.015,,,period-based
76,197,743,0600_1100,736.440,0.863,60.000,0.015,,,period-based
76,198,744,0600_1100,2458.039,0.863,60.000,0.050,,,period-based
76,199,745,0600_1100,2992.588,0.863,60.000,0.060,,,period-based
76,200,746,0600_1100,2581.700,0.863,60.000,0.052,,,period-based
76,201,747,0600_1100,1119.270,0.863,60.000,0.023,,,period-based
76,202,748,0600_1100,1663.530,0.863,60.000,0.034,,,period-based
76,203,749,0600_1100,1544.791,0.863,60.000,0.031,,,period-based
76,204,750,0600_1100,1974.160,0.863,60.000,0.040,,,period-based
76,205,751,0600_1100,2040.229,0.863,60.000,0.041,,,period-based
76,206,752,0600_1100,708.400,0.863,60.000,0.014,,,period-based
76,207,753,0600_1100,2007.850,0.863,60.000,0.041,,,period-based
76,208,754,0600_1100,1498.440,0.863,60.000,0.030,,,period-based
76,209,755,0600_1100,4461.608,0.863,59.999,0.090,,,period-based
76,210,756,0600_1100,6121.119,0.863,59.998,0.124,,,period-based
76,211,757,0600_1100,2102.280,0.863,60.000,0.042,,,period-based
76,212,758,0600_1100,502.120,0.863,60.000,0.010,,,period-based
76,213,759,0600_1100,126.520,0.863,60.000,0.003,,,period-based
76,214,760,0600_1100,1431.550,0.863,60.000,0.029,,,period-based
76,215,761,0600_1100,206.380,0.863,60.000,0.004,,,period-based
76,216,762,0600_1100,1295.571,0.863,60.000,0.026,,,period-based
76,217,763,0600_1100,1746.900,0.863,60.000,0.035,,,period-based
76,218,764,0600_1100,1363.280,0.863,60.000,0.028,,,period-based
76,219,765,0600_1100,4045.681,0.863,60.000,0.082,,,period-based
76,220,766,0600_1100,4393.471,0.863,59.999,0.089,,,period-based
76,221,767,0600_1100,2514.070,0.863,60.000,0.051,,,period-based
76,222,768,0600_1100,2874.953,0.863,60.000,0.058,,,period-based
76,223,769,0600_1100,857.320,0.863,60.000,0.017,,,period-based
76,224,770,0600_1100,1427.070,0.863,60.000,0.029,,,period-based
76,225,771,0600_1100,1073.850,0.863,60.000,0.022,,,period-based
76,226,772,0600_1100,2127.049,0.863,60.000,0.043,,,period-based
76,227,773,0600_1100,1039.260,0.863,60.000,0.021,,,period-based
76,228,774,0600_1100,2222.680,0.863,60.000,0.045,,,period-based
76,229,775,0600_1100,2353.000,0.863,60.000,0.048,,,period-based
76,230,776,0600_1100,3012.151,0.863,60.000,0.061,,,period-based
76,231,777,0600_1100,3206.530,0.863,60.000,0.065,,,period-based
76,232,778,0600_1100,3918.540,0.863,60.000,0.079,,,period-based
76,233,779,0600_1100,4034.170,0.863,60.000,0.081,,,period-based
76,234,780,0600_1100,946.650,0.863,60.000,0.019,,,period-based
76,235,781,0600_1100,242.100,0.863,60.000,0.005,,,period-based
76,236,782,0600_1100,372.760,0.863,60.000,0.008,,,period-based
76,237,783,0600_1100,818.470,0.863,60.000,0.017,,,period-based
76,238,784,0600_1100,302.220,0.863,60.000,0.006,,,period-based
76,239,785,0600_1100,536.330,0.863,60.000,0.011,,,period-based
76,240,786,0600_1100,339.320,0.863,60.000,0.007,,,period-based
76,241,787,0600_1100,1210.350,0.863,60.000,0.024,,,period-based
76,242,788,0600_1100,365.560,0.863,60.000,0.007,,,period-based
76,243,789,0600_1100,617.430,0.863,60.000,0.012,,,period-based
76,244,790,0600_1100,1914.590,0.863,60.000,0.039,,,period-based
76,245,791,0600_1100,907.960,0.863,60.000,0.018,,,period-based
76,246,792,0600_1100,1198.451,0.863,60.000,0.024,,,period-based
76,247,793,0600_1100,1054.250,0.863,60.000,0.021,,,period-based
76,248,794,0600_1100,377.990,0.863,60.000,0.008,,,period-based
76,249,795,0600_1100,2428.980,0.863,60.000,0.049,,,period-based
76,250,796,0600_1100,614.460,0.863,60.000,0.012,,,period-based
76,251,797,0600_1100,284.220,0.863,60.000,0.006,,,period-based
76,252,798,0600_1100,661.430,0.863,60.000,0.013,,,period-based
76,253,799,0600_1100,1412.140,0.863,60.000,0.029,,,period-based
76,254,800,0600_1100,931.130,0.863,60.000,0.019,,,period-based
76,255,801,0600_1100,303.360,0.863,60.000,0.006,,,period-based
76,256,802,0600_1100,488.350,0.863,60.000,0.010,,,period-based
76,257,803,0600_1100,1509.300,0.863,60.000,0.030,,,period-based
76,258,804,0600_1100,1721.650,0.863,60.000,0.035,,,period-based
76,259,805,0600_1100,3051.780,0.863,60.000,0.062,,,period-based
76,260,806,0600_1100,1552.799,0.863,60.000,0.031,,,period-based
76,261,807,0600_1100,1279.650,0.863,60.000,0.026,,,period-based
76,262,808,0600_1100,1412.710,0.863,60.000,0.029,,,period-based
76,263,809,0600_1100,952.350,0.863,60.000,0.019,,,period-based
76,264,810,0600_1100,343.120,0.863,60.000,0.007,,,period-based
76,265,811,0600_1100,127.680,0.863,60.000,0.003,,,period-based
76,266,812,0600_1100,136.320,0.863,60.000,0.003,,,period-based
76,267,813,0600_1100,3204.089,0.863,60.000,0.065,,,period-based
76,268,814,0600_1100,1973.381,0.863,60.000,0.040,,,period-based
76,269,815,0600_1100,1385.020,0.863,60.000,0.028,,,period-based
76,270,816,0600_1100,1044.270,0.863,60.000,0.021,,,period-based
76,271,817,0600_1100,470.370,0.863,60.000,0.010,,,period-based
76,272,818,0600_1100,579.330,0.863,60.000,0.012,,,period-based
76,273,819,0600_1100,1450.961,0.863,60.000,0.029,,,period-based
76,274,820,0600_1100,198.100,0.863,60.000,0.004,,,period-based
76,275,821,0600_1100,1335.310,0.863,60.000,0.027,,,period-based
76,276,822,0600_1100,547.150,0.863,60.000,0.011,,,period-based
76,277,823,0600_1100,1442.350,0.863,60.000,0.029,,,period-based
76,278,824,0600_1100,1129.800,0.863,60.000,0.023,,,period-based
76,279,825,0600_1100,1357.680,0.863,60.000,0.027,,,period-based
76,280,826,0600_1100,677.390,0.863,60.000,0.014,,,period-based
76,281,827,0600_1100,358.800,0.863,60.000,0.007,,,period-based
76,282,828,0600_1100,200.750,0.863,60.000,0.004,,,period-based
76,283,829,0600_1100,2015.680,0.863,60.000,0.041,,,period-based
76,284,830,0600_1100,463.530,0.863,60.000,0.009,,,period-based
76,285,831,0600_1100,666.980,0.863,60.000,0.013,,,period-based
76,286,832,0600_1100,302.770,0.863,60.000,0.006,,,period-based
76,287,833,0600_1100,3515.179,0.863,60.000,0.071,,,period-based
76,288,834,0600_1100,5301.056,0.863,59.999,0.107,,,period-based
76,289,835,0600_1100,1088.320,0.863,60.000,0.022,,,period-based
76,290,836,0600_1100,854.680,0.863,60.000,0.017,,,period-based
76,291,837,0600_1100,816.030,0.863,60.000,0.016,,,period-based
76,292,838,0600_1100,725.780,0.863,60.000,0.015,,,period-based
76,293,839,0600_1100,623.800,0.863,60.000,0.013,,,period-based
76,294,840,0600_1100,686.650,0.863,60.000,0.014,,,period-based
76,295,841,0600_1100,841.940,0.863,60.000,0.017,,,period-based
76,296,842,0600_1100,1250.260,0.863,60.000,0.025,,,period-based
76,297,843,0600_1100,914.270,0.863,60.000,0.018,,,period-based
76,298,844,0600_1100,503.650,0.863,60.000,0.010,,,period-based
76,299,845,0600_1100,916.100,0.863,60.000,0.019,,,period-based
76,300,846,0600_1100,408.640,0.863,60.000,0.008,,,period-based
76,301,847,0600_1100,517.520,0.863,60.000,0.010,,,period-based
76,302,848,0600_1100,245.970,0.863,60.000,0.005,,,period-based
76,303,849,0600_1100,1596.830,0.863,60.000,0.032,,,period-based
76,304,850,0600_1100,655.430,0.863,60.000,0.013,,,period-based
76,305,851,0600_1100,1378.390,0.863,60.000,0.028,,,period-based
76,306,852,0600_1100,212.460,0.863,60.000,0.004,,,period-based
76,307,853,0600_1100,339.770,0.863,60.000,0.007,,,period-based
76,308,854,0600_1100,334.280,0.863,60.000,0.007,,,period-based
76,309,855,0600_1100,934.640,0.863,60.000,0.019,,,period-based
76,310,856,0600_1100,101.960,0.863,60.000,0.002,,,period-based
76,311,857,0600_1100,105.750,0.863,60.000,0.002,,,period-based
76,312,858,0600_1100,517.310,0.863,60.000,0.010,,,period-based
76,313,859,0600_1100,223.820,0.863,60.000,0.005,,,period-based
76,314,860,0600_1100,498.870,0.863,60.000,0.010,,,period-based
76,315,861,0600_1100,85.960,0.863,60.000,0.002,,,period-based
76,316,862,0600_1100,747.150,0.863,60.000,0.015,,,period-based
76,317,863,0600_1100,181.850,0.863,60.000,0.004,,,period-based
76,318,864,0600_1100,1006.290,0.863,60.000,0.020,,,period-based
76,319,865,0600_1100,993.220,0.863,60.000,0.020,,,period-based
76,320,866,0600_1100,2892.829,0.863,60.000,0.058,,,period-based
76,321,867,0600_1100,391.810,0.863,60.000,0.008,,,period-based
76,322,868,0600_1100,563.960,0.863,60.000,0.011,,,period-based
76,323,869,0600_1100,150.390,0.863,60.000,0.003,,,period-based
76,324,870,0600_1100,202.410,0.863,60.000,0.004,,,period-based
76,325,871,0600_1100,104.280,0.863,60.000,0.002,,,period-based
76,326,872,0600_1100,123.600,0.863,60.000,0.002,,,period-based
76,327,873,0600_1100,61.680,0.863,60.000,0.001,,,period-based
76,328,874,0600_1100,565.550,0.863,60.000,0.011,,,period-based
76,329,875,0600_1100,664.710,0.863,60.000,0.013,,,period-based
76,330,876,0600_1100,240.890,0.863,60.000,0.005,,,period-based
76,331,877,0600_1100,1431.900,0.863,60.000,0.029,,,period-based
76,332,878,0600_1100,893.260,0.863,60.000,0.018,,,period-based
76,333,879,0600_1100,81.210,0.863,60.000,0.002,,,period-based
76,334,880,0600_1100,176.120,0.863,60.000,0.004,,,period-based
76,335,881,0600_1100,572.120,0.863,60.000,0.012,,,period-based
76,336,882,0600_1100,57.250,0.863,60.000,0.001,,,period-based
76,337,883,0600_1100,72.060,0.863,60.000,0.001,,,period-based
76,338,884,0600_1100,332.980,0.863,60.000,0.007,,,period-based
76,339,885,0600_1100,108.840,0.863,60.000,0.002,,,period-based
76,340,886,0600_1100,595.990,0.863,60.000,0.012,,,period-based
76,341,887,0600_1100,90.260,0.863,60.000,0.002,,,period-based
76,342,888,0600_1100,283.700,0.863,60.000,0.006,,,period-based
76,343,889,0600_1100,134.720,0.863,60.000,0.003,,,period-based
76,344,890,0600_1100,143.510,0.863,60.000,0.003,,,period-based
76,345,891,0600_1100,559.090,0.863,60.000,0.011,,,period-based
76,346,892,0600_1100,2350.051,0.863,60.000,0.047,,,period-based
76,347,893,0600_1100,336.220,0.863,60.000,0.007,,,period-based
76,348,894,0600_1100,373.530,0.863,60.000,0.008,,,period-based
76,349,895,0600_1100,147.200,0.863,60.000,0.003,,,period-based
76,350,896,0600_1100,220.110,0.863,60.000,0.004,,,period-based
76,351,897,0600_1100,1808.790,0.863,60.000,0.037,,,period-based
76,352,898,0600_1100,635.160,0.863,60.000,0.013,,,period-based
76,353,899,0600_1100,308.990,0.863,60.000,0.006,,,period-based
76,354,900,0600_1100,244.470,0.863,60.000,0.005,,,period-based
76,355,901,0600_1100,214.170,0.863,60.000,0.004,,,period-based
76,356,902,0600_1100,13757.502,0.863,59.946,0.278,,,period-based
76,357,903,0600_1100,11567.117,0.863,59.973,0.234,,,period-based
76,358,904,0600_1100,4112.350,0.863,60.000,0.083,,,period-based
76,359,905,0600_1100,5339.229,0.863,59.999,0.108,,,period-based
76,360,906,0600_1100,4187.490,0.863,60.000,0.085,,,period-based
76,361,907,0600_1100,951.470,0.863,60.000,0.019,,,period-based
76,362,908,0600_1100,2617.380,0.863,60.000,0.053,,,period-based
76,363,909,0600_1100,557.520,0.863,60.000,0.011,,,period-based
76,364,910,0600_1100,512.170,0.863,60.000,0.010,,,period-based
76,365,911,0600_1100,878.670,0.863,60.000,0.018,,,period-based
76,366,912,0600_1100,187.500,0.863,60.000,0.004,,,period-based
76,367,913,0600_1100,2492.668,0.863,60.000,0.050,,,period-based
76,368,914,0600_1100,1177.930,0.863,60.000,0.024,,,period-based
76,369,915,0600_1100,309.670,0.863,60.000,0.006,,,period-based
76,370,916,0600_1100,606.670,0.863,60.000,0.012,,,period-based
76,371,917,0600_1100,586.490,0.863,60.000,0.012,,,period-based
76,372,918,0600_1100,637.180,0.863,60.000,0.013,,,period-based
76,373,919,0600_1100,1254.530,0.863,60.000,0.025,,,period-based
76,374,920,0600_1100,1520.750,0.863,60.000,0.031,,,period-based
76,375,921,0600_1100,921.251,0.863,60.000,0.019,,,period-based
76,376,922,0600_1100,5561.293,0.863,59.999,0.112,,,period-based
76,377,923,0600_1100,1661.000,0.863,60.000,0.034,,,period-based
76,378,924,0600_1100,189.000,0.863,60.000,0.004,,,period-based
76,379,925,0600_1100,1280.000,0.863,60.000,0.026,,,period-based
76,380,926,0600_1100,484.000,0.863,60.000,0.010,,,period-based
76,381,927,0600_1100,1903.000,0.863,60.000,0.038,,,period-based
76,382,928,0600_1100,1555.000,0.863,60.000,0.031,,,period-based
76,383,929,0600_1100,724.000,0.863,60.000,0.015,,,period-based
76,384,930,0600_1100,0.000,0.863,60.000,0.000,,,period-based
76,385,931,0600_1100,157.000,0.863,60.000,0.003,,,period-based
76,386,932,0600_1100,22.000,0.863,60.000,0.000,,,period-based
76,387,933,0600_1100,5837.000,0.863,59.998,0.118,,,period-based
76,388,390,0600_1100,1500.942,12.108,59.697,0.429,,,period-based
76,388,391,0600_1100,1725.352,6.413,59.473,0.493,,,period-based
76,388,708,0600_1100,244.690,1.814,59.998,0.122,,,period-based
76,388,802,0600_1100,137.805,4.426,60.000,0.069,,,period-based
76,389,390,0600_1100,187.684,4.701,59.989,0.188,,,period-based
76,389,801,0600_1100,133.410,7.510,60.000,0.053,,,period-based
76,389,914,0600_1100,267.069,3.302,59.999,0.107,,,period-based
76,390,388,0600_1100,1434.038,12.098,59.747,0.410,,,period-based
76,390,389,0600_1100,121.588,4.701,59.998,0.122,,,period-based
76,390,925,0600_1100,1413.000,7.088,59.762,0.404,,,period-based
76,391,388,0600_1100,1503.105,6.390,59.695,0.429,,,period-based
76,391,392,0600_1100,2036.638,4.637,58.986,0.582,,,period-based
76,391,709,0600_1100,203.286,1.269,60.000,0.068,,,period-based
76,391,715,0600_1100,280.046,4.716,59.999,0.093,,,period-based
